Name,X [ ],Y [ ],DeltaE [kcal/mol],Reaction,HOMO Energy [eV],Mulliken Charge [a.u],Molecular Weight in [a.u.],Molecular Shape [ ],Molecular Volume [A^3],L1,L2,bond type
Pt_73.90,3.405215162412e+00,-5.993715893787e+00,-21.841788,Kumada,NAN,NAN,626.531,0.40625,1143.432,73,90,1
Pt_7.39,-5.278439420117e+00,3.967316492108e+00,-48.387293,Stille,NAN,NAN,560.643,0.34615,775.3809,7,39,1
Pt_7.40,-5.776098862702e+00,3.787470654064e+00,-49.773099,Stille,NAN,NAN,588.697,0.32143,811.1450,7,40,1
Pt_7.41,-9.200435165055e+00,3.011860090778e+00,-44.484250,Stille,NAN,NAN,740.893,0.325,1457.363,7,41,1
Pt_7.42,-4.901184996054e+00,4.148889824583e+00,-49.410195,Stille,NAN,NAN,571.410,0.375,851.6480,7,42,1
Pt_7.43,-5.605319023935e+00,3.925345774520e+00,-45.504249,Stille,NAN,NAN,599.464,0.34615,931.1925,7,43,1
Pt_7.44,-5.643769723432e+00,3.893281755975e+00,-46.255863,Stille,NAN,NAN,558.628,0.34615,1010.493,7,44,1
Pt_7.45,-8.648333408904e+00,3.628934792748e+00,-47.059620,Stille,NAN,NAN,664.795,0.32353,1557.869,7,45,1
Pt_7.46,-8.630702907216e+00,3.357191597214e+00,-43.004813,Stille,NAN,NAN,684.785,0.33333,1473.048,7,46,1
Pt_74.74,-4.718680722913e+00,-1.366705709251e+01,-41.487994,Negishi,NAN,NAN,433.414,0.46667,409.8499,74,74,1
Pt_74.75,-4.951087982028e+00,-1.362298419291e+01,-44.985059,Stille,NAN,NAN,452.373,0.4375,403.3984,74,75,1
Pt_74.76,-8.673100428045e+00,3.172899605181e+00,-44.410348,Stille,NAN,NAN,702.844,0.2973,1369.559,74,76,1
Pt_74.77,-8.015808771076e+00,3.048937508675e+00,-45.222364,Stille,NAN,NAN,704.860,0.2973,1045.670,74,77,1
Pt_74.78,-4.729208177339e-01,5.366096571185e+00,-25.670552,Suzuki,NAN,NAN,382.302,0.53846,316.5960,74,78,1
Pt_74.79,9.114915322361e+00,-6.618739353144e+00,-30.672702,Kumada,NAN,NAN,383.310,0.53846,326.7835,74,79,1
Pt_7.47,-8.491235206213e+00,3.231664931792e+00,-42.422406,Negishi,NAN,NAN,698.812,0.32432,1320.677,7,47,1
Pt_74.80,1.031349979586e+01,-1.992505562424e+01,-39.471503,Negishi,NAN,NAN,383.310,0.5,301.3128,74,80,1
Pt_74.81,-8.173438408879e+00,-1.079134381571e+01,-38.613489,Kumada,NAN,NAN,594.533,0.32143,997.4386,74,81,1
Pt_74.82,-5.547620129604e+00,-1.317588061018e+01,-39.673502,Negishi,NAN,NAN,478.459,0.38889,450.2348,74,82,1
Pt_74.83,-6.542260565719e+00,-1.215734624762e+01,-43.112759,Stille,NAN,NAN,523.492,0.38095,692.8642,74,83,1
Pt_74.84,-7.357644112709e+00,-1.100500381254e+01,-35.268282,Kumada,NAN,NAN,580.634,0.42308,917.4731,74,84,1
Pt_74.85,8.250747801207e+00,-6.249836804034e+00,-53.672408,Hiyama,NAN,NAN,460.439,0.52632,463.3727,74,85,1
Pt_74.86,8.650408226303e+00,-5.942513308423e+00,-52.391228,Hiyama,NAN,NAN,458.424,0.57895,559.2698,74,86,1
Pt_74.87,8.674167111359e+00,-6.697821013929e+00,-49.376763,Stille,NAN,NAN,396.353,0.5,306.9767,74,87,1
Pt_74.88,9.501344912648e+00,-6.138620810161e+00,-50.546053,Hiyama,NAN,NAN,424.363,0.625,343.3815,74,88,1
Pt_74.89,7.883055986171e+00,-6.490003774918e+00,-45.861494,Stille,NAN,NAN,436.417,0.47059,471.0161,74,89,1
Pt_7.48,-5.805531981808e+00,3.969770170685e+00,-45.996318,Stille,NAN,NAN,594.661,0.37931,891.4811,7,48,1
Pt_74.90,6.655140514236e+00,-6.243594715030e+00,-31.343039,Kumada,NAN,NAN,485.446,0.47619,624.2692,74,90,1
Pt_7.49,-5.729627303754e+00,3.987787118614e+00,-46.050621,Stille,NAN,NAN,592.645,0.37931,845.2488,7,49,1
Pt_7.50,4.719183280106e+00,-6.268824840223e+00,-44.723615,Stille,NAN,NAN,513.543,0.3913,826.4475,7,50,1
Pt_7.51,4.153972729214e+00,-6.213486256198e+00,-44.017035,Stille,NAN,NAN,547.988,0.375,995.9996,7,51,1
Pt_7.52,4.282557296605e+00,-6.243088187011e+00,-46.168418,Stille,NAN,NAN,547.988,0.375,891.4144,7,52,1
Pt_7.53,4.515888191174e+00,-6.161895909505e+00,-45.806808,Stille,NAN,NAN,547.988,0.41667,861.3870,7,53,1
Pt_7.54,4.436833707424e+00,-6.283639784739e+00,-43.444802,Stille,NAN,NAN,531.533,0.375,858.9433,7,54,1
Pt_7.55,4.495642437966e+00,-6.289128267645e+00,-44.641947,Stille,NAN,NAN,531.533,0.375,829.8701,7,55,1
Pt_7.56,4.438022047545e+00,-6.083647605085e+00,-45.427801,Stille,NAN,NAN,531.533,0.41667,986.4833,7,56,1
Pt_75.75,-5.142482291273e+00,-1.355915592870e+01,-47.237603,Stille,NAN,NAN,471.332,0.41176,471.6326,75,75,1
Pt_75.76,-8.495464809850e+00,3.165480553025e+00,-46.387032,Stille,NAN,NAN,721.803,0.28947,1302.025,75,76,1
Pt_75.77,-7.851403358897e+00,3.271340624906e+00,-38.211162,Kumada,NAN,NAN,722.811,0.36667,1113.502,75,77,1
Pt_75.78,-8.610418510822e-01,5.398147456059e+00,-27.887070,Kumada,NAN,NAN,401.261,0.5,347.0141,75,78,1
Pt_75.79,8.842768632478e+00,-6.871698543043e+00,-32.967313,Kumada,NAN,NAN,402.269,0.5,335.0290,75,79,1
Pt_7.57,4.208081516254e+00,-6.248691233955e+00,-44.657102,Stille,NAN,NAN,527.570,0.375,968.8576,7,57,1
Pt_75.80,1.069884940118e+01,-1.945971657910e+01,-41.476629,Negishi,NAN,NAN,402.269,0.55556,333.2375,75,80,1
Pt_75.81,-8.125659476646e+00,-1.092005965863e+01,-42.371243,Negishi,NAN,NAN,613.492,0.31034,924.6130,75,81,1
Pt_75.82,-5.673198424307e+00,-1.324789376919e+01,-41.010696,Negishi,NAN,NAN,497.418,0.36842,436.7301,75,82,1
Pt_75.83,-6.538295744742e+00,-1.226999172519e+01,-44.628772,Stille,NAN,NAN,542.451,0.36364,678.6465,75,83,1
Pt_75.84,-7.484118217636e+00,-1.081139362201e+01,-36.897537,Kumada,NAN,NAN,599.593,0.40741,1064.650,75,84,1
Pt_75.85,7.900810989600e+00,-6.327378338496e+00,-55.301119,Hiyama,NAN,NAN,479.399,0.5,521.1879,75,85,1
Pt_75.86,8.009773484541e+00,-5.893833686070e+00,-54.870504,Hiyama,NAN,NAN,477.383,0.55,736.8122,75,86,1
Pt_75.87,8.381837640233e+00,-6.943672325621e+00,-50.781600,Hiyama,NAN,NAN,415.312,0.46667,331.6199,75,87,1
Pt_75.88,9.160515008076e+00,-6.244358952917e+00,-52.806580,Hiyama,NAN,NAN,443.322,0.58824,431.9500,75,88,1
Pt_75.89,7.630899827639e+00,-6.584307627456e+00,-51.938900,Hiyama,NAN,NAN,455.377,0.44444,484.7601,75,89,1
Pt_7.58,4.368884968149e+00,-6.281019318211e+00,-46.042509,Stille,NAN,NAN,527.570,0.375,850.6562,7,58,1
Pt_75.90,6.436991279759e+00,-6.292439738144e+00,-33.360983,Kumada,NAN,NAN,504.405,0.45455,645.3787,75,90,1
Pt_7.59,4.325243193566e+00,-6.068354841964e+00,-44.946151,Stille,NAN,NAN,527.570,0.41667,1012.982,7,59,1
Pt_7.60,4.175275498239e+00,-6.273233947251e+00,-44.641126,Stille,NAN,NAN,543.569,0.36,895.9073,7,60,1
Pt_7.61,4.348582713749e+00,-6.186916588902e+00,-45.036359,Stille,NAN,NAN,543.569,0.4,862.2238,7,61,1
Pt_7.62,4.344154220358e+00,-5.908182307178e+00,-45.174681,Stille,NAN,NAN,543.569,0.44,1052.940,7,62,1
Pt_7.63,4.135399499077e+00,-6.050121863792e+00,-46.643196,Stille,NAN,NAN,556.612,0.42308,1010.893,7,63,1
Pt_7.64,4.031412698680e+00,-6.251026427221e+00,-46.512905,Stille,NAN,NAN,541.597,0.36,951.6072,7,64,1
Pt_7.65,4.022874983608e+00,-6.178956502203e+00,-46.817906,Stille,NAN,NAN,555.624,0.38462,918.7514,7,65,1
Pt_7.66,4.244558171802e+00,-6.205413897501e+00,-42.821962,Negishi,NAN,NAN,567.513,0.38462,884.4033,7,66,1
Pt_76.76,-2.406572413023e+01,2.019589994995e+01,-52.902308,Hiyama,NAN,NAN,972.274,0.37931,2030.778,76,76,1
Pt_76.77,-2.405256594763e+01,2.020550423476e+01,-31.038308,Kumada,NAN,NAN,974.290,0.37931,1877.637,76,77,1
Pt_76.78,-5.399223837720e+00,1.621531490514e+01,-26.806376,Kumada,NAN,NAN,654.756,0.31429,1214.452,76,78,1
Pt_76.79,-1.375212957017e+01,1.277445509683e+01,-37.403510,Kumada,NAN,NAN,652.740,0.31429,1166.304,76,79,1
Pt_7.67,6.289374833207e+00,-2.183203686222e+01,-47.692058,Stille,NAN,NAN,502.516,0.41176,775.0080,7,67,1
Pt_76.80,-4.835646304490e+00,-2.276536180492e+01,-39.808050,Negishi,NAN,NAN,655.763,0.36667,1177.221,76,80,1
Pt_76.81,-1.283776558836e+01,1.634899752415e+00,-32.007340,Kumada,NAN,NAN,866.987,0.24,1959.641,76,81,1
Pt_76.82,-8.718542254029e+00,2.830292745671e+00,-35.543383,Kumada,NAN,NAN,747.889,0.275,1201.626,76,82,1
Pt_76.83,-9.943041975982e+00,2.600104753918e+00,-52.206761,Hiyama,NAN,NAN,792.922,0.25581,1454.961,76,83,1
Pt_76.84,-1.269231801254e+01,2.062097205289e+00,-40.846270,Negishi,NAN,NAN,850.064,0.29167,2007.354,76,84,1
Pt_76.85,-1.418248317940e+01,1.255631184628e+01,-58.384986,None,NAN,NAN,729.869,0.31707,1376.301,76,85,1
Pt_76.86,-1.423371580311e+01,1.237603693377e+01,-47.088357,Stille,NAN,NAN,727.853,0.34146,1468.603,76,86,1
Pt_76.87,-1.382264988133e+01,1.278065790962e+01,-54.110731,Hiyama,NAN,NAN,665.782,0.30556,1135.015,76,87,1
Pt_76.88,-1.396320214435e+01,1.250650855697e+01,-61.875733,None,NAN,NAN,694.800,0.34211,1398.144,76,88,1
Pt_76.89,-1.407740882562e+01,1.269461700499e+01,-47.226805,Stille,NAN,NAN,705.847,0.28205,1261.169,76,89,1
Pt_7.68,6.470250184404e+00,-2.193888896120e+01,-46.134975,Stille,NAN,NAN,492.521,0.38095,779.5974,7,68,1
Pt_76.90,-1.516015707602e+01,1.191208835261e+01,-33.352934,Kumada,NAN,NAN,754.875,0.30233,1692.435,76,90,1
Pt_7.69,5.233302728634e+00,-6.936547032507e+00,-45.955104,Stille,NAN,NAN,493.553,0.33333,706.3632,7,69,1
Pt_7.70,3.939667502547e+00,-6.158170333992e+00,-41.068342,Negishi,NAN,NAN,555.624,0.38462,989.0828,7,70,1
Pt_7.71,-3.546421529075e+00,4.418119025174e+00,-29.133900,Kumada,-5.6743,-0.378740,462.451,0.36842,708.6148,7,71,1
Pt_7.72,-8.806886087132e+00,-1.044696386046e+01,-43.360371,Stille,NAN,NAN,635.669,0.32258,951.6813,7,72,1
Pt_7.73,-9.778445408521e+00,-9.399070966687e+00,-32.574059,Kumada,NAN,NAN,694.693,0.31429,1394.701,7,73,1
Pt_7.74,-7.662082127506e+00,-1.127077194980e+01,-41.496746,Negishi,NAN,NAN,553.608,0.33333,823.6623,7,74,1
Pt_7.75,-7.661623867787e+00,-1.131281140770e+01,-44.748072,Stille,NAN,NAN,572.568,0.32,837.4836,7,75,1
Pt_7.76,-1.185179885834e+01,1.779729575491e+00,-31.873007,Kumada,NAN,NAN,823.038,0.23913,1558.131,7,76,1
Pt_77.77,2.781767810550e+01,2.763507257707e+01,-43.785644,Stille,NAN,NAN,976.305,0.22034,2382.200,77,77,1
Pt_77.78,-4.839200436647e+00,1.625479233558e+01,-24.041797,Kumada,NAN,NAN,653.748,0.31429,978.9933,77,78,1
Pt_77.79,-1.343852687041e+01,1.315960148990e+01,-38.625767,Kumada,NAN,NAN,654.756,0.31429,949.9250,77,79,1
Pt_7.77,-1.114374004178e+01,2.117489488680e+00,-22.813713,Kumada,NAN,NAN,824.046,0.36667,1523.752,7,77,1
Pt_77.80,-4.891935329200e+00,-2.306890162269e+01,-38.316692,Kumada,NAN,NAN,654.756,0.36667,956.4383,77,80,1
Pt_77.81,-1.283037277894e+01,1.597596441266e+00,-29.786858,Kumada,NAN,NAN,865.979,0.24,1931.376,77,81,1
Pt_77.82,-8.784147840252e+00,2.848663413315e+00,-28.842866,Kumada,NAN,NAN,749.905,0.275,1226.444,77,82,1
Pt_77.83,-9.731413011716e+00,2.627233907474e+00,-52.750301,Hiyama,NAN,NAN,794.937,0.26829,1382.289,77,83,1
Pt_77.84,-1.343334695479e+01,2.512741864768e+00,-29.163420,Kumada,NAN,NAN,851.072,0.36667,1951.702,77,84,1
Pt_77.85,-1.413498405338e+01,1.264462640530e+01,-63.170281,None,NAN,NAN,731.885,0.31707,1267.899,77,85,1
Pt_77.86,-1.428502088434e+01,1.232097089271e+01,-52.670293,Hiyama,NAN,NAN,729.869,0.34146,1513.277,77,86,1
Pt_77.87,-1.350823525958e+01,1.316862791165e+01,-43.757384,Stille,NAN,NAN,667.798,0.30556,934.2292,77,87,1
Pt_77.88,-1.387205759082e+01,1.260752582060e+01,-50.751749,Hiyama,NAN,NAN,695.808,0.34211,1218.610,77,88,1
Pt_77.89,-1.407433271714e+01,1.271342366040e+01,-59.787125,None,NAN,NAN,707.863,0.28205,1240.682,77,89,1
Pt_7.78,-4.341643724392e+00,4.163101984821e+00,-25.492435,Suzuki,NAN,NAN,502.496,0.36364,804.9576,7,78,1
Pt_77.90,-1.489174842400e+01,1.212008639217e+01,-22.943151,Kumada,NAN,NAN,756.891,0.30233,1585.787,77,90,1
Pt_7.79,4.842715716673e+00,-6.469517148730e+00,-32.522604,Kumada,NAN,NAN,503.504,0.36364,892.0181,7,79,1
Pt_7.7,-9.516339051229e+00,-1.015327457863e+01,-37.469160,Kumada,NAN,NAN,673.803,0.27273,1016.121,7,7,1
Pt_7.80,6.351932519944e+00,-2.182920098051e+01,-41.810416,Negishi,NAN,NAN,503.504,0.41176,776.9079,7,80,1
Pt_7.81,-1.028070194818e+01,-9.736907054610e+00,-38.600738,Kumada,NAN,NAN,714.727,0.27027,1097.814,7,81,1
Pt_7.82,-8.065172118935e+00,-1.109847097546e+01,-40.090660,Negishi,NAN,NAN,598.653,0.2963,847.9771,7,82,1
Pt_7.83,-8.565402501622e+00,-1.065653025764e+01,-39.676438,Negishi,NAN,NAN,643.686,0.3,901.3816,7,83,1
Pt_7.84,-9.570419852883e+00,-1.002443516573e+01,-32.420717,Kumada,NAN,NAN,700.829,0.34286,1019.239,7,84,1
Pt_7.85,3.924632833964e+00,-6.149642528061e+00,-55.503313,Hiyama,NAN,NAN,580.634,0.39286,917.2457,7,85,1
Pt_7.86,3.522871350346e+00,-5.745939509124e+00,-52.259124,Hiyama,NAN,NAN,578.618,0.42857,1235.675,7,86,1
Pt_78.78,2.963907310538e+00,1.848356640165e+01,-8.114912,Negishi,NAN,NAN,331.190,0.63636,20.05589,78,78,1
Pt_78.79,1.431989756394e+01,7.480746334867e+00,-13.604260,Kumada,NAN,NAN,333.206,0.63636,16.02226,78,79,1
Pt_7.87,4.463520058534e+00,-6.583144428256e+00,-49.350781,Stille,NAN,NAN,516.547,0.34783,893.3774,7,87,1
Pt_78.80,1.642093715441e+01,1.916793112285e+01,-21.940917,Kumada,NAN,NAN,332.198,0.66667,10.85051,78,80,1
Pt_78.81,-5.303526495032e+00,3.855017546139e+00,-24.580339,Suzuki,NAN,NAN,543.421,0.34615,1023.883,78,81,1
Pt_78.82,-1.930717509753e+00,5.302172370458e+00,-30.299230,Kumada,NAN,NAN,427.347,0.4375,615.4020,78,82,1
Pt_78.83,-2.895915649007e+00,4.847316894813e+00,-32.298929,Kumada,NAN,NAN,472.380,0.42105,752.3327,78,83,1
Pt_78.84,-4.440801374764e+00,4.640646434267e+00,-23.456299,Kumada,NAN,NAN,529.522,0.45833,891.8776,78,84,1
Pt_78.85,1.246430797678e+01,8.237861305284e+00,-38.106721,Kumada,NAN,NAN,409.327,0.58824,251.6294,78,85,1
Pt_78.86,1.329456358602e+01,7.696877430648e+00,-38.367400,Kumada,NAN,NAN,408.319,0.64706,57.33969,78,86,1
Pt_78.87,1.338170346314e+01,8.137385357090e+00,-28.592126,Kumada,NAN,NAN,345.241,0.58333,240.3880,78,87,1
Pt_78.88,1.484976377763e+01,6.934121228906e+00,-35.545879,Kumada,NAN,NAN,373.251,0.71429,192.5081,78,88,1
Pt_78.89,1.253977260681e+01,8.496966968158e+00,-32.138133,Kumada,NAN,NAN,386.313,0.53333,174.5915,78,89,1
Pt_7.88,4.540536781245e+00,-6.017808521538e+00,-51.374451,Hiyama,NAN,NAN,544.557,0.44,975.2645,7,88,1
Pt_78.90,1.215327200591e+01,8.505293232588e+00,-14.711700,Kumada,NAN,NAN,435.341,0.52632,181.9476,78,90,1
Pt_7.89,3.947359257466e+00,-6.270178069861e+00,-49.952498,Stille,NAN,NAN,556.612,0.34615,954.7039,7,89,1
Pt_7.8,-1.019395397884e+01,-1.020477825978e+01,-18.239600,Kumada,-4.64533,-0.643446,715.883,0.27778,817.2306,7,8,1
Pt_7.90,3.566484627303e+00,-6.152811507829e+00,-30.016010,Kumada,NAN,NAN,605.640,0.36667,1034.772,7,90,1
Pt_79.79,2.340761344427e+01,-2.341516525342e+00,-19.013626,Kumada,NAN,NAN,333.206,0.63636,16.55751,79,79,1
Pt_79.80,2.049609403580e+01,-1.680586484042e+01,-27.438250,Kumada,NAN,NAN,334.214,0.66667,108.0737,79,80,1
Pt_79.81,4.255864619793e+00,-6.366687017496e+00,-26.355861,Kumada,NAN,NAN,545.437,0.34615,877.6021,79,81,1
Pt_79.82,7.922753332277e+00,-6.947343665346e+00,-37.473087,Kumada,NAN,NAN,428.355,0.4375,397.6723,79,82,1
Pt_79.83,6.832602029831e+00,-6.525402616891e+00,-34.195773,Kumada,NAN,NAN,473.388,0.42105,668.0822,79,83,1
Pt_79.84,5.285096497369e+00,-6.102640123612e+00,-27.009663,Kumada,NAN,NAN,530.530,0.45833,844.8334,79,84,1
Pt_79.85,2.246226255926e+01,-1.482068291630e+00,-44.702781,Stille,NAN,NAN,410.335,0.58824,362.0102,79,85,1
Pt_79.86,2.303030341001e+01,-1.505529094000e+00,-43.758250,Stille,NAN,NAN,408.319,0.64706,56.26038,79,86,1
Pt_79.87,2.268870435799e+01,-2.118931386946e+00,-36.946615,Kumada,NAN,NAN,346.248,0.58333,183.6068,79,87,1
Pt_79.88,2.370407365780e+01,-1.412770152226e+00,-41.007991,Negishi,NAN,NAN,375.266,0.71429,234.9982,79,88,1
Pt_79.89,2.221232668936e+01,-1.874088001596e+00,-37.394527,Kumada,NAN,NAN,386.313,0.53333,170.8221,79,89,1
Pt_79.90,2.190974636059e+01,-1.589125295086e+00,-20.134399,Kumada,NAN,NAN,435.341,0.52632,171.7340,79,90,1
Pt_7.9,-1.033181613095e+01,-9.667899499164e+00,-36.912876,Kumada,NAN,NAN,697.740,0.27778,1160.175,7,9,1
Pt_80.80,-2.899114614746e+01,-2.917987280285e+01,-35.720489,Kumada,NAN,NAN,333.206,0.6,6.099168,80,80,1
Pt_80.81,5.927775270643e+00,-2.181341849392e+01,-38.378079,Kumada,NAN,NAN,544.429,0.42857,949.2101,80,81,1
Pt_80.82,8.659769973471e+00,-2.089778255582e+01,-45.113927,Stille,NAN,NAN,428.355,0.45455,431.4347,80,82,1
Pt_80.83,8.172733517129e+00,-2.077401415287e+01,-37.741139,Kumada,NAN,NAN,473.388,0.5,669.7647,80,83,1
Pt_80.84,6.055891360107e+00,-2.157485902102e+01,-36.289295,Kumada,NAN,NAN,530.530,0.47368,835.3818,80,84,1
Pt_80.85,1.973652817853e+01,-1.628369429837e+01,-52.642510,Hiyama,NAN,NAN,410.335,0.58333,353.0578,80,85,1
Pt_80.86,2.025517352143e+01,-1.685382343345e+01,-52.182797,Hiyama,NAN,NAN,409.327,0.66667,44.12546,80,86,1
Pt_80.87,2.008561049570e+01,-1.626055787149e+01,-46.086184,Stille,NAN,NAN,346.248,0.57143,151.5857,80,87,1
Pt_80.88,2.120494806031e+01,-1.765470979057e+01,-49.327994,Stille,NAN,NAN,374.258,0.77778,138.6216,80,88,1
Pt_80.89,2.008949263867e+01,-1.649571057385e+01,-45.527044,Stille,NAN,NAN,387.321,0.6,174.3760,80,89,1
Pt_80.90,1.953727859585e+01,-1.611598595543e+01,-28.737796,Kumada,NAN,NAN,436.349,0.57143,169.8304,80,90,1
Pt_8.10,-1.373673207851e+01,-7.240558316535e+00,-30.891100,Kumada,-4.58136,-0.596358,829.899,0.28889,2037.967,8,10,1
Pt_8.11,-1.192027936732e+01,-8.934465266900e+00,-24.016429,Kumada,NAN,NAN,843.156,0.28571,1390.469,8,11,1
Pt_8.12,-1.135968417802e+01,-9.213911098319e+00,-21.208699,Kumada,NAN,NAN,793.791,0.28571,1263.569,8,12,1
Pt_8.13,-1.183387146905e+01,-8.794480978496e+00,-22.225300,Kumada,-4.62982,-0.483693,781.902,0.28571,1510.802,8,13,1
Pt_8.14,-1.153725196102e+01,-9.255470456557e+00,-41.845400,Negishi,-4.69732,-0.592910,781.902,0.2619,1220.933,8,14,1
Pt_8.15,-1.155315060376e+01,-9.228210706403e+00,-24.695372,Suzuki,NAN,NAN,781.902,0.2619,1244.525,8,15,1
Pt_8.16,-1.410716241378e+01,-7.715252113824e+00,-25.212100,Suzuki,-4.49888,-0.539176,866.063,0.25,1834.602,8,16,1
Pt_8.17,-8.272503987382e+00,-1.090821016501e+01,-31.886500,Kumada,NAN,NAN,609.716,0.32143,764.5335,8,17,1
Pt_81.81,-1.098542048640e+01,-9.343656475991e+00,-41.948059,Negishi,NAN,NAN,755.652,0.26829,1255.531,81,81,1
Pt_81.82,-8.596859861552e+00,-1.059006273639e+01,-35.445185,Kumada,NAN,NAN,639.578,0.29032,1028.338,81,82,1
Pt_81.83,-9.033022001845e+00,-1.032495273459e+01,-39.641166,Negishi,NAN,NAN,684.611,0.29412,988.7164,81,83,1
Pt_81.84,-1.071310839864e+01,-9.028781764296e+00,-34.900310,Kumada,NAN,NAN,741.753,0.33333,1415.244,81,84,1
Pt_81.85,3.519446284885e+00,-6.132852076212e+00,-47.133199,Stille,NAN,NAN,621.559,0.375,1028.394,81,85,1
Pt_81.86,2.858701256284e+00,-5.849633852226e+00,-47.940984,Stille,NAN,NAN,620.551,0.40625,1356.361,81,86,1
Pt_81.87,4.094642556337e+00,-6.387166032648e+00,-45.294202,Stille,NAN,NAN,557.472,0.33333,878.6632,81,87,1
Pt_81.88,3.750987433496e+00,-5.927724254103e+00,-48.058177,Stille,NAN,NAN,585.482,0.41379,1153.469,81,88,1
Pt_81.89,3.548477377162e+00,-6.225361472841e+00,-42.966224,Negishi,NAN,NAN,598.544,0.33333,1071.422,81,89,1
Pt_8.18,-9.616735036309e+00,-1.016679188116e+01,-18.833400,Kumada,-4.53264,-0.636505,693.877,0.29412,902.6664,8,18,1
Pt_81.90,3.009801852508e+00,-6.128396615713e+00,-26.709846,Kumada,NAN,NAN,647.573,0.35294,1173.741,81,90,1
Pt_8.19,-8.218673045874e+00,-1.060678374479e+01,-37.975168,Kumada,NAN,NAN,615.679,0.37931,977.2757,8,19,1
Pt_8.20,-9.006049953481e+00,-1.029620142852e+01,-15.187600,Kumada,-4.98642,-0.541005,675.731,0.33333,983.4362,8,20,1
Pt_8.21,-1.034695163580e+01,-9.830661701858e+00,-16.588300,Kumada,-4.67255,-0.574487,719.831,0.2973,956.8444,8,21,1
Pt_8.22,-1.117122561394e+01,-9.516265306215e+00,-21.810000,Kumada,-4.65459,-0.738370,765.943,0.275,1039.019,8,22,1
Pt_8.23,-1.171328062755e+01,-8.996936851890e+00,-14.768500,Kumada,-4.51086,-0.613633,793.997,0.28571,1393.551,8,23,1
Pt_8.24,-1.101716778793e+01,-9.410545763415e+00,-23.802600,Kumada,-4.6829,-0.567979,745.869,0.28205,1163.487,8,24,1
Pt_8.25,-1.109851356243e+01,-9.571262126607e+00,-22.636000,Kumada,-4.7436,-0.567688,753.848,0.275,1015.191,8,25,1
Pt_8.26,-1.115329361101e+01,-9.484004289001e+00,-18.100400,Kumada,-4.61974,-0.576662,769.847,0.3,1060.589,8,26,1
Pt_8.27,-1.111431946379e+01,-9.360972570969e+00,-36.450000,Kumada,-4.74387,-0.571843,753.848,0.3,1178.012,8,27,1
Pt_82.82,-6.252101602210e+00,-1.291311112756e+01,-40.162072,Negishi,NAN,NAN,523.504,0.33333,446.7570,82,82,1
Pt_82.83,-6.964757370517e+00,-1.201864772617e+01,-48.319490,Stille,NAN,NAN,568.537,0.33333,686.3939,82,83,1
Pt_82.84,-8.007120083639e+00,-1.066217998601e+01,-38.300390,Kumada,NAN,NAN,625.679,0.37931,1060.025,82,84,1
Pt_82.85,6.628998710701e+00,-6.332517813830e+00,-57.741437,None,NAN,NAN,505.484,0.45455,573.9756,82,85,1
Pt_82.86,6.613868920588e+00,-6.043163181002e+00,-57.054075,None,NAN,NAN,503.468,0.5,848.1550,82,86,1
Pt_82.87,7.618240927374e+00,-7.122701540339e+00,-55.565345,Hiyama,NAN,NAN,441.397,0.41176,378.3911,82,87,1
Pt_82.88,8.400648054499e+00,-6.316951503222e+00,-55.813910,None,NAN,NAN,469.408,0.52632,481.0058,82,88,1
Pt_82.89,6.478396012170e+00,-6.575101921484e+00,-51.657646,Hiyama,NAN,NAN,481.462,0.4,627.8303,82,89,1
Pt_8.28,-7.984555833474e+00,-1.082588343820e+01,-23.005079,Kumada,NAN,NAN,625.627,0.37931,885.6684,8,28,1
Pt_82.90,5.304266976669e+00,-6.262599571555e+00,-37.335698,Kumada,NAN,NAN,530.490,0.41667,773.7513,82,90,1
Pt_8.29,-8.010680495348e+00,-1.078214312021e+01,-37.289687,Kumada,NAN,NAN,622.675,0.37931,936.3408,8,29,1
Pt_8.30,-1.027869560200e+01,-9.978632385293e+00,-28.888700,Kumada,-4.79097,-0.623491,748.917,0.28947,896.7837,8,30,1
Pt_8.31,-9.067638343599e+00,-1.064475223507e+01,-28.659843,Kumada,NAN,NAN,693.798,0.32353,749.4923,8,31,1
Pt_8.32,-5.623606973122e+00,3.869502085585e+00,-37.089294,Kumada,NAN,NAN,572.654,0.33333,843.6378,8,32,1
Pt_8.33,-5.853086010090e+00,3.856253142565e+00,-42.023599,Negishi,NAN,NAN,600.708,0.34483,815.8884,8,33,1
Pt_8.34,-6.295397712292e+00,3.722352714438e+00,-35.824022,Kumada,NAN,NAN,628.762,0.32258,921.0601,8,34,1
Pt_8.35,-6.717751836912e+00,3.523121685015e+00,-43.247000,Stille,-4.19318,-0.580247,656.816,0.30303,958.5618,8,35,1
Pt_8.36,-8.336780722539e+00,3.201782661803e+00,-35.774551,Kumada,NAN,NAN,708.892,0.32432,1215.004,8,36,1
Pt_8.37,-9.684759989255e+00,2.651975579925e+00,-47.989400,Stille,-4.20543,-0.612372,780.958,0.30233,1371.134,8,37,1
Pt_83.83,-7.573465248696e+00,-1.146382140826e+01,-40.865903,Negishi,NAN,NAN,613.569,0.33333,707.9854,83,83,1
Pt_83.84,-8.568511048513e+00,-1.004455717130e+01,-34.084405,Kumada,NAN,NAN,670.712,0.375,1195.073,83,84,1
