Name,X [ ],Y [ ],DeltaE [kcal/mol],Reaction,HOMO Energy [eV],Mulliken Charge [a.u],Molecular Weight in [a.u.],Molecular Shape [ ],Molecular Volume [A^3],L1,L2,bond type
Au_46.83,-6.875957751010e+00,3.144564420725e+00,5.779711,None,NAN,NAN,656.559,0.36364,1258.695,46,83,4
Au_46.84,-8.396451646675e+00,2.906624097210e+00,1.807146,Hiyama,NAN,NAN,713.701,0.39474,1307.835,46,84,4
Au_46.85,7.436936162017e+00,1.017699647505e+01,-0.953726,Stille,NAN,NAN,593.506,0.45161,913.0009,46,85,4
Au_46.86,7.361167189730e+00,1.039021589929e+01,-3.208000,Stille,NAN,NAN,591.490,0.48387,1014.339,46,86,4
Au_46.87,8.228253306419e+00,1.000293844182e+01,0.000000,Stille,NAN,NAN,529.420,0.42308,705.8679,46,87,4
Au_46.88,8.105761412028e+00,1.010066742577e+01,-3.171114,Stille,NAN,NAN,560.453,0.5,785.9690,46,88,4
Au_46.89,7.589346362612e+00,1.018521327532e+01,-2.190343,Stille,NAN,NAN,569.484,0.41379,890.5158,46,89,4
Au_4.68,8.132804869834e+00,-2.082412798903e+01,16.020000,None,-10.5045,0.188912,458.378,0.38889,513.0248,4,68,4
Au_46.90,7.219006290378e+00,1.001858756699e+01,14.406376,None,NAN,NAN,618.512,0.42424,773.7949,46,90,4
Au_4.69,6.657089649750e+00,-7.517538513265e+00,19.130000,None,-10.4958,-0.051142,459.410,0.33333,466.0757,4,69,4
Au_4.6,-6.686171575692e+00,-1.173130331892e+01,15.329865,None,NAN,NAN,567.462,0.33333,656.1964,4,6,4
Au_4.70,5.433254408310e+00,-6.064802229971e+00,18.660000,None,-9.56751,-0.031759,521.481,0.3913,631.0735,4,70,4
Au_4.71,-2.657844576120e+00,5.131749520047e+00,24.030000,None,-11.3889,0.114278,428.308,0.375,457.3129,4,71,4
Au_4.72,-7.747554857649e+00,-1.103192312203e+01,13.670247,None,NAN,NAN,601.526,0.32143,752.3354,4,72,4
Au_4.73,-8.276517968564e+00,-1.058698605465e+01,23.506015,None,NAN,NAN,660.550,0.3125,890.6162,4,73,4
Au_47.47,-9.357825667640e+00,1.647968300025e+01,-1.459120,Stille,-9.14857,0.011451,725.712,0.36585,1890.735,47,47,4
Au_47.48,-4.353701424929e+00,1.634416033606e+01,-4.918240,Stille,-9.18831,0.070630,621.560,0.42424,1111.584,47,48,4
Au_47.49,-5.121460427793e+00,1.589868558711e+01,-0.698055,Stille,NAN,NAN,619.544,0.42424,1379.584,47,49,4
Au_4.74,-6.289298657281e+00,-1.228018018312e+01,16.637822,None,NAN,NAN,519.465,0.33333,533.6130,4,74,4
Au_47.50,7.539821600455e+00,1.084038194557e+01,0.556694,Hiyama,NAN,NAN,540.443,0.44444,1195.232,47,50,4
Au_47.51,7.836016567063e+00,1.000107869363e+01,2.350000,Hiyama,-9.40554,0.119807,574.888,0.42857,703.5802,47,51,4
Au_47.52,7.523976396729e+00,1.039197613074e+01,1.180000,Hiyama,-9.47169,0.109098,574.888,0.42857,1055.676,47,52,4
Au_47.53,7.746064841588e+00,1.023333325520e+01,3.000000,Hiyama,-9.46924,0.102477,574.888,0.46429,919.0582,47,53,4
Au_47.54,7.600570243570e+00,1.041239073521e+01,0.800000,Hiyama,-9.39737,0.107288,558.433,0.42857,1054.296,47,54,4
Au_47.55,7.719811389427e+00,1.023234558383e+01,-0.750000,Stille,-9.50136,0.109055,558.433,0.42857,922.0078,47,55,4
